SBRN,Hospital,FieldItemMasterNumber,Part Name,Part Description,Unit of Measure,Classification,Manufacturer Name,Vendor Name,Vendor Contact Info,Vendor Part Number,Catalog Number,Price,Lot Number,Batch Number,Expiration Date,Recall Status,Purchase Order Number,Purchase Date,Order Status,QtyOnOrder,OnHandQty,Location,NationalItemMasterId,DataQualityFlags,HumanReviewRequired
SBRN0011,Hospital A,PT3621O9,Antiseptic Wipes,Antiseptic Wipes - Standard,EA,Pharmaceutical,MedSupply Corp,Prime Healthcare Vendors,484244,VP-4720,CAT-98870,1199.17,LOT-23609,BATCH-8164,2024-03-29,Monitoring,PO-157776,2021-04-25,Delivered,64,2,Surgery Closet,NIM-ANTISEPTIC-WIPES,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,True
SBRN0012,Hospital A,ZD7018VO,Antiseptic Wipes,Antiseptic Wipes - Imported,EA,Medical,SurgiTech LLC,MedLogix,543673,VP-4551,CAT-14995,252.54,LOT-70989,BATCH-3942,2022-11-27,None,PO-204772,2024-03-27,Canceled,62,139,Pharmacy Storage,NIM-ANTISEPTIC-WIPES,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0013,Hospital A,ZD7018VO,Antiseptic Wipes,Antiseptic Wipes - Imported,EA,Medical,SurgiTech LLC,MedLogix,543673,VP-4551,CAT-14995,252.54,LOT-70989,BATCH-3942,2022-11-27,None,PO-204772,2024-03-27,Canceled,62,139,Pharmacy Storage,NIM-ANTISEPTIC-WIPES,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0014,Hospital A,ZD7018VO,Antiseptic Wipes,Antiseptic Wipes - Imported,EA,Medical,SurgiTech LLC,MedLogix,543673,VP-4551,CAT-14995,252.54,LOT-70989,BATCH-3942,2022-11-27,None,PO-204772,2024-03-27,Canceled,62,139,Pharmacy Storage,NIM-ANTISEPTIC-WIPES,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0015,Hospital A,ZD7018VO,Antiseptic Wipes,Antiseptic Wipes - Imported,EA,Medical,SurgiTech LLC,MedLogix,543673,VP-4551,CAT-14995,252.54,LOT-70989,BATCH-3942,2022-11-27,None,PO-204772,2024-03-27,Canceled,62,139,Pharmacy Storage,NIM-ANTISEPTIC-WIPES,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0016,Hospital A,ZD7018VO,Antiseptic Wipes,Antiseptic Wipes - Imported,EA,Medical,SurgiTech LLC,MedLogix,543673,VP-4551,CAT-14995,252.54,LOT-70989,BATCH-3942,2022-11-27,None,PO-204772,2024-03-27,Canceled,62,139,Pharmacy Storage,NIM-ANTISEPTIC-WIPES,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0017,Hospital A,ZD7018VO,Antiseptic Wipes,Antiseptic Wipes - Imported,EA,Medical,SurgiTech LLC,MedLogix,543673,VP-4551,CAT-14995,252.54,LOT-70989,BATCH-3942,2022-11-27,None,PO-204772,2024-03-27,Canceled,62,139,Pharmacy Storage,NIM-ANTISEPTIC-WIPES,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0018,Hospital A,EQ22987O,Antiseptic Wipes,Antiseptic Wipes - Generic,UNIT,Supply,MedSupply Corp,United Medical Suppliers,244968,VP-7551,CAT-53159,1394.52,LOT-91508,BATCH-2244,2023-06-15,Monitoring,PO-654449,2024-05-16,Canceled,197,49,ER Supply Room,NIM-ANTISEPTIC-WIPES,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0019,Hospital A,EQ22987O,Antiseptic Wipes,Antiseptic Wipes - Generic,UNIT,Supply,MedSupply Corp,United Medical Suppliers,244968,VP-7551,CAT-53159,1394.52,LOT-91508,BATCH-2244,2023-06-15,Monitoring,PO-654449,2024-05-16,Canceled,197,49,ER Supply Room,NIM-ANTISEPTIC-WIPES,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0020,Hospital A,EQ22987O,Antiseptic Wipes,Antiseptic Wipes - Generic,UNIT,Supply,MedSupply Corp,United Medical Suppliers,244968,VP-7551,CAT-53159,1394.52,LOT-91508,BATCH-2244,2023-06-15,Monitoring,PO-654449,2024-05-16,Canceled,197,49,ER Supply Room,NIM-ANTISEPTIC-WIPES,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0021,Hospital A,EQ22987O,Antiseptic Wipes,Antiseptic Wipes - Generic,UNIT,Supply,MedSupply Corp,United Medical Suppliers,244968,VP-7551,CAT-53159,1394.52,LOT-91508,BATCH-2244,2023-06-15,Monitoring,PO-654449,2024-05-16,Canceled,197,49,ER Supply Room,NIM-ANTISEPTIC-WIPES,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0022,Hospital A,EQ22987O,Antiseptic Wipes,Antiseptic Wipes - Generic,UNIT,Supply,MedSupply Corp,United Medical Suppliers,244968,VP-7551,CAT-53159,1394.52,LOT-91508,BATCH-2244,2023-06-15,Monitoring,PO-654449,2024-05-16,Canceled,197,49,ER Supply Room,NIM-ANTISEPTIC-WIPES,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0023,Hospital A,ID7581SP,Blood Pressure Cuff,Blood Pressure Cuff - Premium,BAG,Pharmaceutical,SurgiTech LLC,United Medical Suppliers,960113,VP-7140,CAT-83907,602.84,LOT-58890,BATCH-5423,2028-03-03,Active,PO-132184,2027-07-29,Canceled,83,547,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0024,Hospital A,ID7581SP,Blood Pressure Cuff,Blood Pressure Cuff - Premium,BAG,Pharmaceutical,SurgiTech LLC,United Medical Suppliers,960113,VP-7140,CAT-83907,602.84,LOT-58890,BATCH-5423,2028-03-03,Active,PO-132184,2027-07-29,Canceled,83,547,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0025,Hospital A,ID7581SP,Blood Pressure Cuff,Blood Pressure Cuff - Premium,BAG,Pharmaceutical,SurgiTech LLC,United Medical Suppliers,960113,VP-7140,CAT-83907,602.84,LOT-58890,BATCH-5423,2028-03-03,Active,PO-132184,2027-07-29,Canceled,83,547,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0026,Hospital A,ID7581SP,Blood Pressure Cuff,Blood Pressure Cuff - Premium,BAG,Pharmaceutical,SurgiTech LLC,United Medical Suppliers,960113,VP-7140,CAT-83907,602.84,LOT-58890,BATCH-5423,2028-03-03,Active,PO-132184,2027-07-29,Canceled,83,547,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0027,Hospital A,LJ8490BS,Blood Pressure Cuff,Blood Pressure Cuff - Premium,BAG,Medical,MedSupply Corp,HealthEquip Direct,881422,VP-7972,CAT-95589,535.63,LOT-20063,BATCH-9546,,Monitoring,PO-655795,2021-06-22,Pending,68,49,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,True
SBRN0028,Hospital A,LJ8490BS,Blood Pressure Cuff,Blood Pressure Cuff - Premium,BAG,Medical,MedSupply Corp,HealthEquip Direct,881422,VP-7972,CAT-95589,535.63,LOT-20063,BATCH-9546,,Monitoring,PO-655795,2021-06-22,Pending,68,49,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,True
SBRN0029,Hospital A,LJ8490BS,Blood Pressure Cuff,Blood Pressure Cuff - Premium,BAG,Medical,MedSupply Corp,HealthEquip Direct,881422,VP-7972,CAT-95589,535.63,LOT-20063,BATCH-9546,,Monitoring,PO-655795,2021-06-22,Pending,68,49,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,True
SBRN0030,Hospital A,LJ8490BS,Blood Pressure Cuff,Blood Pressure Cuff - Premium,BAG,Medical,MedSupply Corp,HealthEquip Direct,881422,VP-7972,CAT-95589,535.63,LOT-20063,BATCH-9546,,Monitoring,PO-655795,2021-06-22,Pending,68,49,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,True
SBRN0031,Hospital A,ID7581SP,Blood Pressure Cuff,Blood Pressure Cuff - Premium,BAG,Pharmaceutical,SurgiTech LLC,United Medical Suppliers,960113,VP-7140,CAT-83907,602.84,LOT-58890,BATCH-5423,2028-03-03,Active,PO-132184,2027-07-29,Canceled,83,547,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0032,Hospital A,ZH3387XM,Blood Pressure Cuff,Blood Pressure Cuff - Standard,BOX,Surgical,SurgiTech LLC,Prime Healthcare Vendors,986869,VP-8979,CAT-99505,312.17,LOT-36415,BATCH-8422,2028-12-30,Active,PO-104355,2027-08-05,Canceled,72,158,Surgery Closet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0033,Hospital A,ZH3387XM,Blood Pressure Cuff,Blood Pressure Cuff - Standard,BOX,Surgical,SurgiTech LLC,Prime Healthcare Vendors,986869,VP-8979,CAT-99505,312.17,LOT-36415,BATCH-8422,2028-12-30,Active,PO-104355,2027-08-05,Canceled,72,158,Surgery Closet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0034,Hospital A,ZH3387XM,Blood Pressure Cuff,Blood Pressure Cuff - Standard,BOX,Surgical,SurgiTech LLC,Prime Healthcare Vendors,986869,VP-8979,CAT-99505,312.17,LOT-36415,BATCH-8422,2028-12-30,Active,PO-104355,2027-08-05,Canceled,72,158,Surgery Closet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0035,Hospital A,ZH3387XM,Blood Pressure Cuff,Blood Pressure Cuff - Standard,BOX,Surgical,SurgiTech LLC,Prime Healthcare Vendors,986869,VP-8979,CAT-99505,312.17,LOT-36415,BATCH-8422,2028-12-30,Active,PO-104355,2027-08-05,Canceled,72,158,Surgery Closet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0036,Hospital A,ZH3387XM,Blood Pressure Cuff,Blood Pressure Cuff - Standard,BOX,Surgical,SurgiTech LLC,Prime Healthcare Vendors,986869,VP-8979,CAT-99505,312.17,LOT-36415,BATCH-8422,2028-12-30,Active,PO-104355,2027-08-05,Canceled,72,158,Surgery Closet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0037,Hospital A,ZH3387XM,Blood Pressure Cuff,Blood Pressure Cuff - Standard,BOX,Surgical,SurgiTech LLC,Prime Healthcare Vendors,986869,VP-8979,CAT-99505,312.17,LOT-36415,BATCH-8422,2028-12-30,Active,PO-104355,2027-08-05,Canceled,72,158,Surgery Closet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0038,Hospital A,ZH3387XM,Blood Pressure Cuff,Blood Pressure Cuff - Standard,BOX,Surgical,SurgiTech LLC,Prime Healthcare Vendors,986869,VP-8979,CAT-99505,312.1,LOT-36415,BATCH-8422,2028-12-30,Active,PO-104355,2027-08-05,Canceled,72,158,Surgery Closet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0039,Hospital A,ZH3387XM,Blood Pressure Cuff,Blood Pressure Cuff - Standard,BOX,Surgical,SurgiTech LLC,Prime Healthcare Vendors,986869,VP-8979,CAT-99505,312.17,LOT-36415,BATCH-8422,2028-12-30,Active,PO-104355,2027-08-05,Canceled,72,158,Surgery Closet,NIM-BLOOD-PRESSURE-CUFF,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,True
SBRN0040,Hospital A,NB1565G4,Blood Pressure Cuff,Blood Pressure Cuff - Imported,EA,Pharmaceutical,SurgiTech LLC,GlobalMed,955102,VP-8616,CAT-30271,725.08,LOT-60314,BATCH-1026,2025-04-10,Active,PO-611191,2026-08-20,Pending,2,44,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0041,Hospital A,NB1565G4,Blood Pressure Cuff,Blood Pressure Cuff - Imported,EA,Pharmaceutical,SurgiTech LLC,GlobalMed,955102,VP-8616,CAT-30271,725.08,LOT-60314,BATCH-1026,2025-04-10,Active,PO-611191,2026-08-20,Pending,2,44,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0042,Hospital A,NB1565G4,Blood Pressure Cuff,Blood Pressure Cuff - Imported,EA,Pharmaceutical,SurgiTech LLC,GlobalMed,955102,VP-8616,CAT-30271,725.08,LOT-60314,BATCH-1026,2025-04-10,Active,PO-611191,2026-08-20,Pending,2,44,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0043,Hospital A,NB1565G4,Blood Pressure Cuff,Blood Pressure Cuff - Imported,EA,Pharmaceutical,SurgiTech LLC,GlobalMed,955102,VP-8616,CAT-30271,725.08,LOT-60314,BATCH-1026,2025-04-10,Active,PO-611191,2026-08-20,Pending,2,44,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0044,Hospital A,NB1565G4,Blood Pressure Cuff,Blood Pressure Cuff - Imported,EA,Pharmaceutical,SurgiTech LLC,GlobalMed,955102,VP-8616,CAT-30271,725.08,LOT-60314,BATCH-1026,2025-04-10,Active,PO-611191,2026-08-20,Pending,2,44,Clinic Supply Cabinet,NIM-BLOOD-PRESSURE-CUFF,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0045,Hospital A,TT2608AP,Blood Pressure Cuff,Blood Pressure Cuff - Premium,EA,Surgical,HealthCorp Intl,GlobalMed,454269,VP-1248,CAT-98588,1276.53,LOT-29892,BATCH-9270,2026-01-30,Monitoring,PO-725911,2022-07-24,Pending,95,111,Main Warehouse,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,True
SBRN0046,Hospital A,TT2608AP,Blood Pressure Cuff,Blood Pressure Cuff - Premium,EA,Surgical,HealthCorp Intl,GlobalMed,454269,VP-1248,CAT-98588,1276.53,LOT-29892,BATCH-9270,2026-01-30,Monitoring,PO-725911,2022-07-24,Pending,95,111,Main Warehouse,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,True
SBRN0047,Hospital A,BN5332ES,Blood Pressure Cuff,Blood Pressure Cuff - Standard,EA,Medical,MedSupply Corp,Prime Healthcare Vendors,257794,VP-1028,CAT-22641,856.95,LOT-17457,BATCH-5640,2020-12-13,Monitoring,PO-388702,2024-10-28,Canceled,10,1,Receiving Dock,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0048,Hospital A,BN5332ES,Blood Pressure Cuff,Blood Pressure Cuff - Standard,EA,Medical,MedSupply Corp,Prime Healthcare Vendors,257794,VP-1028,CAT-22641,856.95,LOT-17457,BATCH-5640,2020-12-13,Monitoring,PO-388702,2024-10-28,Canceled,10,1,Receiving Dock,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0049,Hospital A,BN5332ES,Blood Pressure Cuff,Blood Pressure Cuff - Standard,EA,Medical,MedSupply Corp,Prime Healthcare Vendors,257794,VP-1028,CAT-22641,856.95,LOT-17457,BATCH-5640,2020-12-13,Monitoring,PO-388702,2024-10-28,Canceled,10,1,Receiving Dock,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0050,Hospital A,BN5332ES,Blood Pressure Cuff,Blood Pressure Cuff - Standard,EA,Medical,MedSupply Corp,Prime Healthcare Vendors,257794,VP-1028,CAT-22641,856.95,LOT-17457,BATCH-5640,2020-12-13,Monitoring,PO-388702,2024-10-28,Canceled,10,1,Receiving Dock,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0051,Hospital A,GJ46299B,Blood Pressure Cuff,Blood Pressure Cuff - Premium,EA,Supply,MedSupply Corp,MedLogix,457196,VP-4479,CAT-92593,1315.4,LOT-68415,BATCH-9843,2020-09-16,None,PO-567174,2023-07-17,Pending,145,256,Pharmacy Storage,NIM-BLOOD-PRESSURE-CUFF,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0052,Hospital A,GJ46299B,Blood Pressure Cuff,Blood Pressure Cuff - Premium,EA,Supply,MedSupply Corp,MedLogix,457196,VP-4479,CAT-92593,1315.4,LOT-68415,BATCH-9843,2020-09-16,None,PO-567174,2023-07-17,Pending,145,256,Pharmacy Storage,NIM-BLOOD-PRESSURE-CUFF,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0053,Hospital A,GJ46299B,Blood Pressure Cuff,Blood Pressure Cuff - Premium,EA,Supply,MedSupply Corp,MedLogix,457196,VP-4479,CAT-92593,1315.4,LOT-68415,BATCH-9843,2020-09-16,None,PO-567174,2023-07-17,Pending,145,256,Pharmacy Storage,NIM-BLOOD-PRESSURE-CUFF,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0054,Hospital A,GJ46299B,Blood Pressure Cuff,Blood Pressure Cuff - Premium,EA,Supply,MedSupply Corp,MedLogix,457196,VP-4479,CAT-92593,1315.4,LOT-68415,BATCH-9843,2020-09-16,None,PO-567174,2023-07-17,Pending,145,256,Pharmacy Storage,NIM-BLOOD-PRESSURE-CUFF,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0055,Hospital A,GJ46299B,Blood Pressure Cuff,Blood Pressure Cuff - Premium,EA,Supply,MedSupply Corp,MedLogix,457196,VP-4479,CAT-92593,1315.4,LOT-68415,BATCH-9843,2020-09-16,None,PO-567174,2023-07-17,Pending,145,256,Pharmacy Storage,NIM-BLOOD-PRESSURE-CUFF,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,True
SBRN0056,Hospital A,PS77674D,Blood Pressure Cuff,Blood Pressure Cuff - Imported,EA,Medical,MedSupply Corp,United Medical Suppliers,723941,VP-2329,CAT-13979,1350.53,LOT-22288,BATCH-4131,2026-03-22,Monitoring,PO-651266,2021-07-30,Pending,139,620,Main Warehouse,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,True
SBRN0057,Hospital A,PS77674D,Blood Pressure Cuff,Blood Pressure Cuff - Imported,EA,Medical,MedSupply Corp,United Medical Suppliers,723941,VP-2329,CAT-13979,1350.53,LOT-22288,BATCH-4131,2026-03-22,Monitoring,PO-651266,2021-07-30,Pending,139,620,Main Warehouse,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,True
SBRN0058,Hospital A,PS77674D,Blood Pressure Cuff,Blood Pressure Cuff - Imported,EA,Medical,MedSupply Corp,United Medical Suppliers,723941,VP-2329,CAT-13979,1350.53,LOT-22288,BATCH-4131,2026-03-22,Monitoring,PO-651266,2021-07-30,Pending,139,620,Main Warehouse,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,True
SBRN0059,Hospital A,PS77674D,Blood Pressure Cuff,Blood Pressure Cuff - Imported,EA,Medical,MedSupply Corp,United Medical Suppliers,723941,VP-2329,CAT-13979,1350.53,LOT-22288,BATCH-4131,2026-03-22,Monitoring,PO-651266,2021-07-30,Pending,139,620,Main Warehouse,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,True
SBRN0060,Hospital A,PS77674D,Blood Pressure Cuff,Blood Pressure Cuff - Imported,EA,Medical,MedSupply Corp,United Medical Suppliers,723941,VP-2329,CAT-13979,1350.53,LOT-22288,BATCH-4131,2026-03-22,Monitoring,PO-651266,2021-07-30,Pending,139,620,Main Warehouse,NIM-BLOOD-PRESSURE-CUFF,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,True
