issue_id,category,source_artifact,field_or_entity,decision_needed,owner,status,notes
HRQ-00018,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0025
HRQ-00019,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0026
HRQ-00020,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0027
HRQ-00021,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0028
HRQ-00022,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0029
HRQ-00023,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0030
HRQ-00024,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0031
HRQ-00025,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0032
HRQ-00026,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0033
HRQ-00027,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0034
HRQ-00028,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0035
HRQ-00029,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0036
HRQ-00030,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0037
HRQ-00031,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0038
HRQ-00032,record_level_data_quality,dataset-raw-excel-data,record,FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0039
HRQ-00033,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0040
HRQ-00034,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0041
HRQ-00035,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0042
HRQ-00036,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0043
HRQ-00037,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0044
HRQ-00038,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0045
HRQ-00039,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0046
HRQ-00040,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0047
HRQ-00041,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0048
HRQ-00042,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0049
HRQ-00043,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0050
HRQ-00044,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0051
HRQ-00045,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0052
HRQ-00046,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0053
HRQ-00047,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0054
HRQ-00048,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0055
HRQ-00049,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0056
HRQ-00050,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0057
HRQ-00051,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0058
HRQ-00052,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0059
HRQ-00053,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0060
HRQ-00054,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0061
HRQ-00055,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0062
HRQ-00056,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0063
HRQ-00057,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0064
HRQ-00058,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0065
HRQ-00059,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0066
HRQ-00060,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0067
HRQ-00061,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0068
HRQ-00062,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0069
HRQ-00063,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0070
HRQ-00064,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0071
HRQ-00065,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0072
HRQ-00066,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0076
HRQ-00067,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0077
HRQ-00068,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0078
HRQ-00069,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0079
HRQ-00070,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0080
HRQ-00071,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0081
HRQ-00072,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0082
HRQ-00073,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0083
HRQ-00074,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0084
HRQ-00075,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0085
HRQ-00076,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0086
HRQ-00077,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0087
HRQ-00078,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0088
HRQ-00079,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0093
HRQ-00080,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0094
HRQ-00081,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0095
HRQ-00082,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0096
HRQ-00083,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0097
HRQ-00084,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0098
HRQ-00085,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0102
HRQ-00086,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0103
HRQ-00087,record_level_data_quality,dataset-raw-excel-data,record,EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0104
HRQ-00088,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0105
HRQ-00089,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0106
HRQ-00090,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0107
HRQ-00091,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0108
HRQ-00092,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0109
HRQ-00093,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0110
HRQ-00094,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0111
HRQ-00095,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0112
HRQ-00096,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0113
HRQ-00097,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0114
HRQ-00098,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0115
HRQ-00099,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE,SME/Data Governance,open,SBRN=SBRN0116
HRQ-00100,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0117
HRQ-00101,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0118
HRQ-00102,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0119
HRQ-00103,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0120
HRQ-00104,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0121
HRQ-00105,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0128
HRQ-00106,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0129
HRQ-00107,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0130
HRQ-00108,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0131
HRQ-00109,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0132
HRQ-00110,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0133
HRQ-00111,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0134
HRQ-00112,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0135
HRQ-00113,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0136
HRQ-00114,record_level_data_quality,dataset-raw-excel-data,record,MISSING_RECALL_STATUS_NORMALIZED_TO_NONE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW;EXPIRATION_BEFORE_PURCHASE_REQUIRES_REVIEW;EXPIRED_ITEM_FLAG,SME/Data Governance,open,SBRN=SBRN0137
HRQ-00115,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0145
HRQ-00116,record_level_data_quality,dataset-raw-excel-data,record,RECALL_STATUS_MONITORING_REQUIRES_GOVERNANCE;FUTURE_PURCHASE_DATE_REQUIRES_REVIEW,SME/Data Governance,open,SBRN=SBRN0146
