SBRN,field,before,after,rule
SBRN0010,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN0010,Purchase Date,2021-04-25 00:00:00,2021-04-25,standardization_or_format_normalization
SBRN0010,Expiration Date,2024-03-29 00:00:00,2024-03-29,standardization_or_format_normalization
SBRN0011,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN0011,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN0011,Purchase Date,2021-04-25 00:00:00,2021-04-25,standardization_or_format_normalization
SBRN0011,Expiration Date,2024-03-29 00:00:00,2024-03-29,standardization_or_format_normalization
SBRN0012,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0012,Recall Status,,None,standardization_or_format_normalization
SBRN0012,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0012,Purchase Date,2024-03-27 00:00:00,2024-03-27,standardization_or_format_normalization
SBRN0012,Expiration Date,2022-11-27 00:00:00,2022-11-27,standardization_or_format_normalization
SBRN0013,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0013,Recall Status,,None,standardization_or_format_normalization
SBRN0013,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0013,Purchase Date,2024-03-27 00:00:00,2024-03-27,standardization_or_format_normalization
SBRN0013,Expiration Date,2022-11-27 00:00:00,2022-11-27,standardization_or_format_normalization
SBRN0014,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0014,Recall Status,,None,standardization_or_format_normalization
SBRN0014,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0014,Purchase Date,2024-03-27 00:00:00,2024-03-27,standardization_or_format_normalization
SBRN0014,Expiration Date,2022-11-27 00:00:00,2022-11-27,standardization_or_format_normalization
SBRN0015,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0015,Recall Status,,None,standardization_or_format_normalization
SBRN0015,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0015,Purchase Date,2024-03-27 00:00:00,2024-03-27,standardization_or_format_normalization
SBRN0015,Expiration Date,2022-11-27 00:00:00,2022-11-27,standardization_or_format_normalization
SBRN0016,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0016,Recall Status,,None,standardization_or_format_normalization
SBRN0016,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0016,Purchase Date,2024-03-27 00:00:00,2024-03-27,standardization_or_format_normalization
SBRN0016,Expiration Date,2022-11-27 00:00:00,2022-11-27,standardization_or_format_normalization
SBRN0017,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0017,Recall Status,,None,standardization_or_format_normalization
SBRN0017,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0017,Purchase Date,2024-03-27 00:00:00,2024-03-27,standardization_or_format_normalization
SBRN0017,Expiration Date,2022-11-27 00:00:00,2022-11-27,standardization_or_format_normalization
SBRN0018,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN0018,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN0018,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0018,Purchase Date,2024-05-16 00:00:00,2024-05-16,standardization_or_format_normalization
SBRN0018,Expiration Date,2023-06-15 00:00:00,2023-06-15,standardization_or_format_normalization
SBRN0019,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN0019,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN0019,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0019,Purchase Date,2024-05-16 00:00:00,2024-05-16,standardization_or_format_normalization
SBRN0019,Expiration Date,2023-06-15 00:00:00,2023-06-15,standardization_or_format_normalization
SBRN0020,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN0020,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN0020,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0020,Purchase Date,2024-05-16 00:00:00,2024-05-16,standardization_or_format_normalization
SBRN0020,Expiration Date,2023-06-15 00:00:00,2023-06-15,standardization_or_format_normalization
SBRN0021,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN0021,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN0021,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0021,Purchase Date,2024-05-16 00:00:00,2024-05-16,standardization_or_format_normalization
SBRN0021,Expiration Date,2023-06-15 00:00:00,2023-06-15,standardization_or_format_normalization
SBRN0022,Unit of Measure,Unit,UNIT,standardization_or_format_normalization
SBRN0022,Manufacturer Name,MedSupply,MedSupply Corp,standardization_or_format_normalization
SBRN0022,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0022,Purchase Date,2024-05-16 00:00:00,2024-05-16,standardization_or_format_normalization
SBRN0022,Expiration Date,2023-06-15 00:00:00,2023-06-15,standardization_or_format_normalization
SBRN0023,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0023,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0023,Purchase Date,2027-07-29 00:00:00,2027-07-29,standardization_or_format_normalization
SBRN0023,Expiration Date,2028-03-03 00:00:00,2028-03-03,standardization_or_format_normalization
SBRN0024,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0024,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0024,Purchase Date,2027-07-29 00:00:00,2027-07-29,standardization_or_format_normalization
SBRN0024,Expiration Date,2028-03-03 00:00:00,2028-03-03,standardization_or_format_normalization
SBRN0025,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0025,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0025,Purchase Date,2027-07-29 00:00:00,2027-07-29,standardization_or_format_normalization
SBRN0025,Expiration Date,2028-03-03 00:00:00,2028-03-03,standardization_or_format_normalization
SBRN0026,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0026,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0026,Purchase Date,2027-07-29 00:00:00,2027-07-29,standardization_or_format_normalization
SBRN0026,Expiration Date,2028-03-03 00:00:00,2028-03-03,standardization_or_format_normalization
SBRN0027,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN0027,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0027,Purchase Date,2021-06-22 00:00:00,2021-06-22,standardization_or_format_normalization
SBRN0027,Expiration Date,07/28/2020,,standardization_or_format_normalization
SBRN0028,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN0028,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0028,Purchase Date,2021-06-22 00:00:00,2021-06-22,standardization_or_format_normalization
SBRN0028,Expiration Date,07/28/2020,,standardization_or_format_normalization
SBRN0029,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN0029,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0029,Purchase Date,2021-06-22 00:00:00,2021-06-22,standardization_or_format_normalization
SBRN0029,Expiration Date,07/28/2020,,standardization_or_format_normalization
SBRN0030,Manufacturer Name,MedSupply LLC,MedSupply Corp,standardization_or_format_normalization
SBRN0030,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0030,Purchase Date,2021-06-22 00:00:00,2021-06-22,standardization_or_format_normalization
SBRN0030,Expiration Date,07/28/2020,,standardization_or_format_normalization
SBRN0031,Unit of Measure,BG,BAG,standardization_or_format_normalization
SBRN0031,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0031,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0031,Purchase Date,2027-07-29 00:00:00,2027-07-29,standardization_or_format_normalization
SBRN0031,Expiration Date,2028-03-03 00:00:00,2028-03-03,standardization_or_format_normalization
SBRN0032,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0032,Manufacturer Name,SurgiTech Corp,SurgiTech LLC,standardization_or_format_normalization
SBRN0032,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0032,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0032,Purchase Date,2027-08-05 00:00:00,2027-08-05,standardization_or_format_normalization
SBRN0032,Expiration Date,2028-12-30 00:00:00,2028-12-30,standardization_or_format_normalization
SBRN0033,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0033,Manufacturer Name,SurgiTech Corp,SurgiTech LLC,standardization_or_format_normalization
SBRN0033,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0033,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0033,Purchase Date,2027-08-05 00:00:00,2027-08-05,standardization_or_format_normalization
SBRN0033,Expiration Date,2028-12-30 00:00:00,2028-12-30,standardization_or_format_normalization
SBRN0034,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0034,Manufacturer Name,SurgiTech Corp,SurgiTech LLC,standardization_or_format_normalization
SBRN0034,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0034,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0034,Purchase Date,2027-08-05 00:00:00,2027-08-05,standardization_or_format_normalization
SBRN0034,Expiration Date,2028-12-30 00:00:00,2028-12-30,standardization_or_format_normalization
SBRN0035,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0035,Manufacturer Name,SurgiTech Corp,SurgiTech LLC,standardization_or_format_normalization
SBRN0035,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0035,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0035,Purchase Date,2027-08-05 00:00:00,2027-08-05,standardization_or_format_normalization
SBRN0035,Expiration Date,2028-12-30 00:00:00,2028-12-30,standardization_or_format_normalization
SBRN0036,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0036,Manufacturer Name,SurgiTech Corp,SurgiTech LLC,standardization_or_format_normalization
SBRN0036,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0036,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0036,Purchase Date,2027-08-05 00:00:00,2027-08-05,standardization_or_format_normalization
SBRN0036,Expiration Date,2028-12-30 00:00:00,2028-12-30,standardization_or_format_normalization
SBRN0037,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0037,Manufacturer Name,SurgiTech Corp,SurgiTech LLC,standardization_or_format_normalization
SBRN0037,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0037,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0037,Purchase Date,2027-08-05 00:00:00,2027-08-05,standardization_or_format_normalization
SBRN0037,Expiration Date,2028-12-30 00:00:00,2028-12-30,standardization_or_format_normalization
SBRN0038,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0038,Manufacturer Name,SurgiTech Corp,SurgiTech LLC,standardization_or_format_normalization
SBRN0038,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0038,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0038,Purchase Date,2027-08-05 00:00:00,2027-08-05,standardization_or_format_normalization
SBRN0038,Expiration Date,2028-12-30 00:00:00,2028-12-30,standardization_or_format_normalization
SBRN0039,Unit of Measure,Box,BOX,standardization_or_format_normalization
SBRN0039,Manufacturer Name,SurgiTech Corp,SurgiTech LLC,standardization_or_format_normalization
SBRN0039,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0039,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0039,Purchase Date,2027-08-05 00:00:00,2027-08-05,standardization_or_format_normalization
SBRN0039,Expiration Date,2028-12-30 00:00:00,2028-12-30,standardization_or_format_normalization
SBRN0040,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0040,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0040,Purchase Date,2026-08-20 00:00:00,2026-08-20,standardization_or_format_normalization
SBRN0040,Expiration Date,2025-04-10 00:00:00,2025-04-10,standardization_or_format_normalization
SBRN0041,Vendor Name,GlobalMed Inc,GlobalMed,standardization_or_format_normalization
SBRN0041,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0041,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0041,Purchase Date,2026-08-20 00:00:00,2026-08-20,standardization_or_format_normalization
SBRN0041,Expiration Date,2025-04-10 00:00:00,2025-04-10,standardization_or_format_normalization
SBRN0042,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0042,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0042,Purchase Date,2026-08-20 00:00:00,2026-08-20,standardization_or_format_normalization
SBRN0042,Expiration Date,2025-04-10 00:00:00,2025-04-10,standardization_or_format_normalization
SBRN0043,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0043,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0043,Purchase Date,2026-08-20 00:00:00,2026-08-20,standardization_or_format_normalization
SBRN0043,Expiration Date,2025-04-10 00:00:00,2025-04-10,standardization_or_format_normalization
SBRN0044,Recall Status,Active Recall,Active,standardization_or_format_normalization
SBRN0044,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0044,Purchase Date,2026-08-20 00:00:00,2026-08-20,standardization_or_format_normalization
SBRN0044,Expiration Date,2025-04-10 00:00:00,2025-04-10,standardization_or_format_normalization
SBRN0045,Manufacturer Name,Health Corp,HealthCorp Intl,standardization_or_format_normalization
SBRN0045,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0045,Purchase Date,2022-07-24 00:00:00,2022-07-24,standardization_or_format_normalization
SBRN0045,Expiration Date,2026-01-30 00:00:00,2026-01-30,standardization_or_format_normalization
SBRN0046,Manufacturer Name,Health Corp,HealthCorp Intl,standardization_or_format_normalization
SBRN0046,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0046,Purchase Date,2022-07-24 00:00:00,2022-07-24,standardization_or_format_normalization
SBRN0046,Expiration Date,2026-01-30 00:00:00,2026-01-30,standardization_or_format_normalization
SBRN0047,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0047,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0047,Purchase Date,2024-10-28 00:00:00,2024-10-28,standardization_or_format_normalization
SBRN0047,Expiration Date,2020-12-13 00:00:00,2020-12-13,standardization_or_format_normalization
SBRN0048,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0048,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0048,Purchase Date,2024-10-28 00:00:00,2024-10-28,standardization_or_format_normalization
SBRN0048,Expiration Date,2020-12-13 00:00:00,2020-12-13,standardization_or_format_normalization
SBRN0049,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0049,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0049,Purchase Date,2024-10-28 00:00:00,2024-10-28,standardization_or_format_normalization
SBRN0049,Expiration Date,2020-12-13 00:00:00,2020-12-13,standardization_or_format_normalization
SBRN0050,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0050,Order Status,Cancelled,Canceled,standardization_or_format_normalization
SBRN0050,Purchase Date,2024-10-28 00:00:00,2024-10-28,standardization_or_format_normalization
SBRN0050,Expiration Date,2020-12-13 00:00:00,2020-12-13,standardization_or_format_normalization
SBRN0051,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0051,Manufacturer Name,Med-Supply,MedSupply Corp,standardization_or_format_normalization
SBRN0051,Recall Status,,None,standardization_or_format_normalization
SBRN0051,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0051,Purchase Date,2023-07-17 00:00:00,2023-07-17,standardization_or_format_normalization
SBRN0051,Expiration Date,2020-09-16 00:00:00,2020-09-16,standardization_or_format_normalization
SBRN0052,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0052,Manufacturer Name,Med-Supply,MedSupply Corp,standardization_or_format_normalization
SBRN0052,Recall Status,,None,standardization_or_format_normalization
SBRN0052,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0052,Purchase Date,2023-07-17 00:00:00,2023-07-17,standardization_or_format_normalization
SBRN0052,Expiration Date,2020-09-16 00:00:00,2020-09-16,standardization_or_format_normalization
SBRN0053,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0053,Manufacturer Name,Med-Supply,MedSupply Corp,standardization_or_format_normalization
SBRN0053,Recall Status,,None,standardization_or_format_normalization
SBRN0053,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0053,Purchase Date,2023-07-17 00:00:00,2023-07-17,standardization_or_format_normalization
SBRN0053,Expiration Date,2020-09-16 00:00:00,2020-09-16,standardization_or_format_normalization
SBRN0054,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0054,Manufacturer Name,Med-Supply,MedSupply Corp,standardization_or_format_normalization
SBRN0054,Recall Status,,None,standardization_or_format_normalization
SBRN0054,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0054,Purchase Date,2023-07-17 00:00:00,2023-07-17,standardization_or_format_normalization
SBRN0054,Expiration Date,2020-09-16 00:00:00,2020-09-16,standardization_or_format_normalization
SBRN0055,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0055,Manufacturer Name,Med-Supply,MedSupply Corp,standardization_or_format_normalization
SBRN0055,Recall Status,,None,standardization_or_format_normalization
SBRN0055,Order Status,Ordered,Pending,standardization_or_format_normalization
SBRN0055,Purchase Date,2023-07-17 00:00:00,2023-07-17,standardization_or_format_normalization
SBRN0055,Expiration Date,2020-09-16 00:00:00,2020-09-16,standardization_or_format_normalization
SBRN0056,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0056,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0056,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN0056,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN0057,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0057,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0057,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN0057,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN0058,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0058,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0058,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN0058,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN0059,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0059,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0059,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN0059,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN0060,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0060,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0060,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN0060,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN0061,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0061,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0061,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN0061,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN0062,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0062,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0062,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN0062,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN0063,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0063,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0063,Purchase Date,2021-07-30 00:00:00,2021-07-30,standardization_or_format_normalization
SBRN0063,Expiration Date,2026-03-22 00:00:00,2026-03-22,standardization_or_format_normalization
SBRN0064,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0064,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0064,Purchase Date,2021-01-03 00:00:00,2021-01-03,standardization_or_format_normalization
SBRN0064,Expiration Date,2028-04-22 00:00:00,2028-04-22,standardization_or_format_normalization
SBRN0065,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0065,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0065,Purchase Date,2021-01-03 00:00:00,2021-01-03,standardization_or_format_normalization
SBRN0065,Expiration Date,2028-04-22 00:00:00,2028-04-22,standardization_or_format_normalization
SBRN0066,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0066,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0066,Purchase Date,2021-01-03 00:00:00,2021-01-03,standardization_or_format_normalization
SBRN0066,Expiration Date,2028-04-22 00:00:00,2028-04-22,standardization_or_format_normalization
SBRN0067,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0067,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0067,Purchase Date,2021-01-03 00:00:00,2021-01-03,standardization_or_format_normalization
SBRN0067,Expiration Date,2028-04-22 00:00:00,2028-04-22,standardization_or_format_normalization
SBRN0068,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0068,Manufacturer Name,HealthCorp,HealthCorp Intl,standardization_or_format_normalization
SBRN0068,Recall Status,,None,standardization_or_format_normalization
SBRN0068,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0068,Purchase Date,2020-05-16 00:00:00,2020-05-16,standardization_or_format_normalization
SBRN0068,Expiration Date,2020-04-15 00:00:00,2020-04-15,standardization_or_format_normalization
SBRN0069,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0069,Manufacturer Name,HealthCorp,HealthCorp Intl,standardization_or_format_normalization
SBRN0069,Recall Status,,None,standardization_or_format_normalization
SBRN0069,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0069,Purchase Date,2020-05-16 00:00:00,2020-05-16,standardization_or_format_normalization
SBRN0069,Expiration Date,2020-04-15 00:00:00,2020-04-15,standardization_or_format_normalization
SBRN0070,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0070,Manufacturer Name,HealthCorp,HealthCorp Intl,standardization_or_format_normalization
SBRN0070,Recall Status,,None,standardization_or_format_normalization
SBRN0070,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0070,Purchase Date,2020-05-16 00:00:00,2020-05-16,standardization_or_format_normalization
SBRN0070,Expiration Date,2020-04-15 00:00:00,2020-04-15,standardization_or_format_normalization
SBRN0071,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0071,Manufacturer Name,HealthCorp,HealthCorp Intl,standardization_or_format_normalization
SBRN0071,Recall Status,,None,standardization_or_format_normalization
SBRN0071,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0071,Purchase Date,2020-05-16 00:00:00,2020-05-16,standardization_or_format_normalization
SBRN0071,Expiration Date,2020-04-15 00:00:00,2020-04-15,standardization_or_format_normalization
SBRN0072,Unit of Measure,Each,EA,standardization_or_format_normalization
SBRN0072,Manufacturer Name,HealthCorp,HealthCorp Intl,standardization_or_format_normalization
SBRN0072,Recall Status,,None,standardization_or_format_normalization
SBRN0072,Order Status,Backordered,Pending,standardization_or_format_normalization
SBRN0072,Purchase Date,2020-05-16 00:00:00,2020-05-16,standardization_or_format_normalization
SBRN0072,Expiration Date,2020-04-15 00:00:00,2020-04-15,standardization_or_format_normalization
SBRN0073,Unit of Measure,PK,PACK,standardization_or_format_normalization
SBRN0073,Recall Status,,None,standardization_or_format_normalization
SBRN0073,Order Status,Received,Delivered,standardization_or_format_normalization
SBRN0073,Purchase Date,2026-08-05 00:00:00,2026-08-05,standardization_or_format_normalization
